2015-10-20,2780
2015-10-21,2740
2015-10-22,2760
2015-10-23,2720
2015-10-26,2720
2015-10-27,2680
2015-10-28,2680
2015-10-29,2680
2015-10-30,2680
2015-11-02,2680
2015-11-03,2630
2015-11-04,2610
2015-11-05,2600
2015-11-06,2570
2015-11-09,2550
2015-11-10,2540
2015-11-11,2540
2015-11-12,2530
2015-11-13,2530
2015-11-16,2530
2015-11-17,2480
2015-11-18,2480
2015-11-19,2450
2015-11-20,2450
2015-11-23,2350
2015-11-24,2400
2015-11-25,2400
2015-11-26,2460
2015-11-27,2460
2015-11-30,2450
2015-12-01,2480
2015-12-02,2500
2015-12-03,2500
2015-12-04,2500
2015-12-07,2500
2015-12-08,2500
2015-12-09,2470
2015-12-10,2450
2015-12-11,2480
2015-12-14,2500
2015-12-15,2520
2015-12-16,2520
2015-12-17,2520
2015-12-18,2520
2015-12-21,2550
2015-12-22,2550
2015-12-23,2550
2015-12-24,2550
2015-12-25,2540
2015-12-28,2540
2015-12-29,2540
2015-12-30,2540
2015-12-31,2540
2016-01-04,2540
2016-01-05,2500
2016-01-06,2500
2016-01-07,2550
2016-01-08,2570
2016-01-11,2570
2016-01-12,2570
2016-01-13,2600
2016-01-14,2600
2016-01-15,2600
2016-01-18,2650
2016-01-19,2650
2016-01-20,2650
2016-01-21,2620
2016-01-22,2620
2016-01-25,2620
2016-01-26,2620
2016-01-27,2620
2016-01-28,2620
2016-01-29,2600
2016-02-01,2600
2016-02-02,2600
2016-02-03,2600
2016-02-04,2600
2016-02-05,2600
2016-02-06,2600
2016-02-14,2600
2016-02-15,2600
2016-02-16,2600
2016-02-17,2600
2016-02-18,2560
2016-02-19,2560
2016-02-22,2560
2016-02-23,2550
2016-02-24,2520
2016-02-25,2490
2016-02-26,2460
2016-02-29,2460
2016-03-01,2420
2016-03-02,2420
2016-03-03,2420
2016-03-04,2420
2016-03-07,2500
2016-03-08,2500
2016-03-09,2450
2016-03-10,2450
2016-03-11,2430
2016-03-14,2400
2016-03-15,2400
2016-03-16,2380
2016-03-17,2360
2016-03-18,2380
2016-03-21,2380
2016-03-22,2400
2016-03-23,2400
2016-03-24,2400
2016-03-25,2420
2016-03-28,2420
2016-03-29,2430
2016-03-30,2430
2016-03-31,2410
2016-04-01,2410
2016-04-05,2410
2016-04-06,2390
2016-04-07,2390
2016-04-08,2350
2016-04-11,2390
2016-04-12,2420
2016-04-13,2470
2016-04-14,2530
2016-04-15,2500
2016-04-18,2540
2016-04-19,2550
2016-04-20,2650
2016-04-21,2730
2016-04-22,2730
2016-04-25,2600
2016-04-26,2650
2016-04-27,2660
2016-04-28,2660
2016-04-29,2660
2016-05-03,2770
2016-05-04,2770
2016-05-05,2760
2016-05-06,2760
2016-05-09,2720
2016-05-10,2780
2016-05-11,2910
2016-05-12,2950
2016-05-13,2950
2016-05-16,2930
2016-05-17,2950
2016-05-18,3020
2016-05-19,2980
2016-05-20,2960
2016-05-23,2960
2016-05-24,2940
2016-05-25,2900
2016-05-26,3000
2016-05-27,2980
2016-05-30,3070
2016-05-31,3050
2016-06-01,3030
2016-06-02,3070
2016-06-03,3150
2016-06-06,3190
2016-06-07,3230
2016-06-08,3300
2016-06-12,3300
2016-06-13,3450
2016-06-14,3450
2016-06-15,3450
2016-06-16,3410
2016-06-17,3390
2016-06-20,3460
2016-06-21,3480
2016-06-22,3430
2016-06-23,3460
2016-06-24,3410
2016-06-27,3430
2016-06-28,3510
2016-06-29,3550
2016-06-30,3520
2016-07-01,3610
2016-07-04,3600
2016-07-05,3540
2016-07-06,3420
2016-07-07,3410
2016-07-08,3300
2016-07-11,3360
2016-07-12,3380
2016-07-13,3440
2016-07-14,3470
2016-07-15,3400
2016-07-18,3350
2016-07-19,3340
2016-07-20,3280
2016-07-21,3240
2016-07-22,3210
2016-07-25,3150
2016-07-26,3130
2016-07-27,3160
2016-07-28,3170
2016-07-29,3150
2016-08-01,3150
